Date of Sale,City,Department,Product,Sale,Predicted Sale,Flag
10/19/2014,A,Footwear Mens,17295,2,2,History
10/26/2014,A,Footwear Mens,17295,1,1,History
11/2/2014,A,Footwear Mens,17295,1,1,History
11/9/2014,A,Footwear Mens,17295,2,1,History
11/16/2014,A,Footwear Mens,17295,6,1,History
11/23/2014,A,Footwear Mens,17295,0,3,History
11/30/2014,A,Footwear Mens,17295,5,3,History
12/7/2014,A,Footwear Mens,17295,0,4,History
12/14/2014,A,Footwear Mens,17295,3,2,History
12/21/2014,A,Footwear Mens,17295,2,3,History
12/28/2014,A,Footwear Mens,17295,2,2,History
1/4/2015,A,Footwear Mens,17295,0,2,History
1/11/2015,A,Footwear Mens,17295,2,1,History
1/18/2015,A,Footwear Mens,17295,1,1,History
1/25/2015,A,Footwear Mens,17295,2,1,History
2/1/2015,A,Footwear Mens,17295,1,2,History
2/8/2015,A,Footwear Mens,17295,3,1,History
2/15/2015,A,Footwear Mens,17295,0,2,History
2/22/2015,A,Footwear Mens,17295,1,1,History
3/1/2015,A,Footwear Mens,17295,1,1,History
3/8/2015,A,Footwear Mens,17295,1,1,History
3/15/2015,A,Footwear Mens,17295,0,1,History
3/22/2015,A,Footwear Mens,17295,1,1,History
3/29/2015,A,Footwear Mens,17295,2,1,History
4/5/2015,A,Footwear Mens,17295,0,1,History
4/12/2015,A,Footwear Mens,17295,3,1,History
4/19/2015,A,Footwear Mens,17295,2,2,History
4/26/2015,A,Footwear Mens,17295,2,2,History
5/3/2015,A,Footwear Mens,17295,1,2,History
5/10/2015,A,Footwear Mens,17295,1,2,History
5/17/2015,A,Footwear Mens,17295,0,1,History
5/24/2015,A,Footwear Mens,17295,0,1,History
5/31/2015,A,Footwear Mens,17295,Not Available,1,Forecast
6/7/2015,A,Footwear Mens,17295,Not Available,0,Forecast
6/14/2015,A,Footwear Mens,17295,Not Available,0,Forecast
6/21/2015,A,Footwear Mens,17295,Not Available,0,Forecast
6/28/2015,A,Footwear Mens,17295,Not Available,0,Forecast
7/5/2015,A,Footwear Mens,17295,Not Available,0,Forecast
7/12/2015,A,Footwear Mens,17295,Not Available,0,Forecast
7/19/2015,A,Footwear Mens,17295,Not Available,0,Forecast
7/26/2015,A,Footwear Mens,17295,Not Available,0,Forecast
10/5/2014,B,Footwear Mens,17295,1,1,History
10/12/2014,B,Footwear Mens,17295,4,4,History
10/19/2014,B,Footwear Mens,17295,5,5,History
10/26/2014,B,Footwear Mens,17295,3,3,History
11/2/2014,B,Footwear Mens,17295,3,3,History
11/9/2014,B,Footwear Mens,17295,2,2,History
11/16/2014,B,Footwear Mens,17295,3,3,History
11/23/2014,B,Footwear Mens,17295,11,9,History
11/30/2014,B,Footwear Mens,17295,12,11,History
12/7/2014,B,Footwear Mens,17295,4,3,History
12/14/2014,B,Footwear Mens,17295,3,4,History
12/21/2014,B,Footwear Mens,17295,2,4,History
12/28/2014,B,Footwear Mens,17295,4,2,History
