,Date of Sale,City,Department,Product,Sale,Predicted Sale,Flag,Out of Stock,Buffer Stock
0,10/19/2014,A,Footwear Mens,17295,2,2,History,0,3
1,10/26/2014,A,Footwear Mens,17295,1,1,History,0,3
2,11/2/2014,A,Footwear Mens,17295,1,1,History,0,3
3,11/9/2014,A,Footwear Mens,17295,2,1,History,0,3
4,11/16/2014,A,Footwear Mens,17295,6,1,History,0,5
5,11/23/2014,A,Footwear Mens,17295,0,3,History,1,5
6,11/30/2014,A,Footwear Mens,17295,5,3,History,0,7
7,12/7/2014,A,Footwear Mens,17295,0,4,History,1,4
8,12/14/2014,A,Footwear Mens,17295,3,2,History,0,5
9,12/21/2014,A,Footwear Mens,17295,2,3,History,0,4
10,12/28/2014,A,Footwear Mens,17295,2,2,History,0,4
11,1/4/2015,A,Footwear Mens,17295,0,2,History,0,3
12,1/11/2015,A,Footwear Mens,17295,2,1,History,0,3
13,1/18/2015,A,Footwear Mens,17295,1,1,History,0,3
14,1/25/2015,A,Footwear Mens,17295,2,1,History,0,4
15,2/1/2015,A,Footwear Mens,17295,1,2,History,0,3
16,2/8/2015,A,Footwear Mens,17295,3,1,History,0,4
17,2/15/2015,A,Footwear Mens,17295,0,2,History,0,3
18,2/22/2015,A,Footwear Mens,17295,1,1,History,0,3
19,3/1/2015,A,Footwear Mens,17295,1,1,History,0,3
20,3/8/2015,A,Footwear Mens,17295,1,1,History,0,3
21,3/15/2015,A,Footwear Mens,17295,0,1,History,0,3
22,3/22/2015,A,Footwear Mens,17295,1,1,History,0,3
23,3/29/2015,A,Footwear Mens,17295,2,1,History,0,3
24,4/5/2015,A,Footwear Mens,17295,0,1,History,0,3
25,4/12/2015,A,Footwear Mens,17295,3,1,History,0,4
26,4/19/2015,A,Footwear Mens,17295,2,2,History,0,4
27,4/26/2015,A,Footwear Mens,17295,2,2,History,0,4
28,5/3/2015,A,Footwear Mens,17295,1,2,History,0,4
29,5/10/2015,A,Footwear Mens,17295,1,2,History,0,3
30,5/17/2015,A,Footwear Mens,17295,0,1,History,0,3
31,5/24/2015,A,Footwear Mens,17295,0,1,History,0,1
32,5/31/2015,A,Footwear Mens,17295,Not Available,1,Forecast,no answer,0
33,6/7/2015,A,Footwear Mens,17295,Not Available,0,Forecast,no answer,0
34,6/14/2015,A,Footwear Mens,17295,Not Available,0,Forecast,no answer,0
35,6/21/2015,A,Footwear Mens,17295,Not Available,0,Forecast,no answer,0
36,6/28/2015,A,Footwear Mens,17295,Not Available,0,Forecast,no answer,0
37,7/5/2015,A,Footwear Mens,17295,Not Available,0,Forecast,no answer,0
38,7/12/2015,A,Footwear Mens,17295,Not Available,0,Forecast,no answer,0
39,7/19/2015,A,Footwear Mens,17295,Not Available,0,Forecast,no answer,0
40,7/26/2015,A,Footwear Mens,17295,Not Available,0,Forecast,no answer,0
41,10/5/2014,B,Footwear Mens,17295,1,1,History,0,1
42,10/12/2014,B,Footwear Mens,17295,4,4,History,0,1
43,10/19/2014,B,Footwear Mens,17295,5,5,History,0,1
44,10/26/2014,B,Footwear Mens,17295,3,3,History,0,1
45,11/2/2014,B,Footwear Mens,17295,3,3,History,0,1
46,11/9/2014,B,Footwear Mens,17295,2,2,History,0,1
47,11/16/2014,B,Footwear Mens,17295,3,3,History,0,2
48,11/23/2014,B,Footwear Mens,17295,11,9,History,0,2
49,11/30/2014,B,Footwear Mens,17295,12,11,History,0,1
50,12/7/2014,B,Footwear Mens,17295,4,3,History,1,1
51,12/14/2014,B,Footwear Mens,17295,3,4,History,1,1
52,12/21/2014,B,Footwear Mens,17295,2,4,History,1,1
53,12/28/2014,B,Footwear Mens,17295,4,2,History,0,1
54,1/4/2015,B,Footwear Mens,17295,5,4,History,0,2
55,1/11/2015,B,Footwear Mens,17295,6,13,History,0,2
56,1/18/2015,B,Footwear Mens,17295,7,12,History,0,1
57,1/25/2015,B,Footwear Mens,17295,13,3,History,0,1
58,2/1/2015,B,Footwear Mens,17295,6,5,History,1,1
59,2/8/2015,B,Footwear Mens,17295,8,5,History,1,2
60,2/15/2015,B,Footwear Mens,17295,5,6,History,1,2
61,2/22/2015,B,Footwear Mens,17295,4,7,History,1,2
62,3/1/2015,B,Footwear Mens,17295,6,12,History,0,2
63,3/8/2015,B,Footwear Mens,17295,2,12,History,1,2
64,3/15/2015,B,Footwear Mens,17295,3,7,History,0,1
65,3/22/2015,B,Footwear Mens,17295,4,3,History,0,1
66,3/29/2015,B,Footwear Mens,17295,2,4,History,0,1
67,4/5/2015,B,Footwear Mens,17295,3,2,History,0,1
68,4/12/2015,B,Footwear Mens,17295,4,2,History,0,2
69,4/19/2015,B,Footwear Mens,17295,7,8,History,0,2
70,4/26/2015,B,Footwear Mens,17295,8,8,History,0,2
71,5/3/2015,B,Footwear Mens,17295,8,7,History,0,2
72,5/10/2015,B,Footwear Mens,17295,3,6,History,1,1
73,5/17/2015,B,Footwear Mens,17295,2,5,History,1,1
74,5/24/2015,B,Footwear Mens,17295,3,3,History,1,1
75,5/31/2015,B,Footwear Mens,17295,Not Available,4,Forecast,no answer,0
76,6/7/2015,B,Footwear Mens,17295,Not Available,8,Forecast,no answer,0
77,6/14/2015,B,Footwear Mens,17295,Not Available,9,Forecast,no answer,0
78,6/21/2015,B,Footwear Mens,17295,Not Available,8,Forecast,no answer,0
79,6/28/2015,B,Footwear Mens,17295,Not Available,5,Forecast,no answer,0
80,7/5/2015,B,Footwear Mens,17295,Not Available,5,Forecast,no answer,0
81,7/12/2015,B,Footwear Mens,17295,Not Available,5,Forecast,no answer,0
82,7/19/2015,B,Footwear Mens,17295,Not Available,5,Forecast,no answer,0
83,7/26/2015,B,Footwear Mens,17295,Not Available,10,Forecast,no answer,0
84,7/28/2013,C,Footwear Mens,17295,2,0,History,0,1
85,8/4/2013,C,Footwear Mens,17295,1,0,History,0,8
86,8/11/2013,C,Footwear Mens,17295,2,3,History,0,5
87,8/18/2013,C,Footwear Mens,17295,3,2,History,0,3
88,8/25/2013,C,Footwear Mens,17295,2,1,History,0,3
89,9/1/2013,C,Footwear Mens,17295,1,1,History,0,1
90,9/8/2013,C,Footwear Mens,17295,2,0,History,0,3
91,9/15/2013,C,Footwear Mens,17295,1,1,History,0,1
92,9/22/2013,C,Footwear Mens,17295,0,0,History,0,8
